<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ABC,20210813,12.9000,12.9000,12.6000,12.7000,9200,12.9000,12.9000,12.6000,12.7000,0,0,0
ABC,20210812,12.7000,13.4000,12.6000,12.9000,19400,12.7000,13.4000,12.6000,12.9000,0,900,0
ABC,20210811,12.5000,12.8000,12.5000,12.6000,29214,12.5000,12.8000,12.5000,12.6000,0,0,0
ABC,20210810,12.0000,13.0000,11.8000,12.5000,102004,12.0000,13.0000,11.8000,12.5000,0,0,0
ABC,20210809,11.8000,12.0000,11.7000,12.0000,45610,11.8000,12.0000,11.7000,12.0000,0,0,0
ABC,20210806,11.8000,11.9000,11.8000,11.8000,13100,11.8000,11.9000,11.8000,11.8000,0,0,0
ABC,20210805,11.8000,11.9000,11.6000,11.8000,6200,11.8000,11.9000,11.6000,11.8000,0,0,0
ABC,20210804,11.6000,11.7000,11.6000,11.7000,11900,11.6000,11.7000,11.6000,11.7000,0,0,0
ABC,20210803,11.8000,11.8000,11.5000,11.6000,6900,11.8000,11.8000,11.5000,11.6000,0,0,0
ABC,20210802,11.4000,11.6000,11.4000,11.6000,11400,11.4000,11.6000,11.4000,11.6000,0,0,0
ABC,20210730,11.6000,11.8000,11.6000,11.6000,15400,11.6000,11.8000,11.6000,11.6000,0,300,0
ABC,20210729,11.4000,11.9000,11.4000,11.8000,8700,11.4000,11.9000,11.4000,11.8000,0,300,0
ABC,20210728,11.8000,12.0000,11.8000,11.8000,8600,11.8000,12.0000,11.8000,11.8000,0,0,0
ABC,20210727,11.8000,11.8000,11.7000,11.7000,1100,11.8000,11.8000,11.7000,11.7000,0,0,0
ABC,20210726,11.7000,11.8000,11.6000,11.6000,8429,11.7000,11.8000,11.6000,11.6000,0,0,0
ABC,20210723,11.8000,11.8000,11.5000,11.8000,4001,11.8000,11.8000,11.5000,11.8000,0,1000,0
ABC,20210722,11.9000,11.9000,11.5000,11.6000,35413,11.9000,11.9000,11.5000,11.6000,0,400,0
ABC,20210721,0.0000,11.8000,11.5000,11.8000,7500,0.0000,11.8000,11.5000,11.8000,0,0,0
ABC,20210720,11.5000,11.8000,11.5000,11.5000,9901,11.5000,11.8000,11.5000,11.5000,0,0,0
ABC,20210719,11.6000,11.8000,11.5000,11.5000,13500,11.6000,11.8000,11.5000,11.5000,0,1500,0
ABC,20210716,11.8000,12.0000,11.3000,11.9000,6231,11.8000,12.0000,11.3000,11.9000,0,0,0
ABC,20210715,11.2000,11.7000,11.0000,11.7000,13400,11.2000,11.7000,11.0000,11.7000,0,200,0
ABC,20210714,11.2000,11.5000,11.2000,11.5000,8941,11.2000,11.5000,11.2000,11.5000,0,0,0
ABC,20210713,11.0000,11.2000,11.0000,11.2000,5900,11.0000,11.2000,11.0000,11.2000,0,600,0
ABC,20210712,11.3000,11.3000,10.6000,10.8000,34528,11.3000,11.3000,10.6000,10.8000,0,1700,0
