<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HBD,20210812,13.8000,13.8000,13.8000,13.8000,1,13.8000,13.8000,13.8000,13.8000,0,1,0
HBD,20210811,13.8000,13.8000,13.8000,13.8000,100,13.8000,13.8000,13.8000,13.8000,0,0,0
HBD,20210804,0.0000,15.3000,14.0000,15.3000,1200,0.0000,15.3000,14.0000,15.3000,0,0,0
HBD,20210721,0.0000,15.4000,15.4000,15.4000,200,0.0000,15.4000,15.4000,15.4000,0,100,0
HBD,20210720,15.5000,15.5000,15.5000,15.5000,100,15.5000,15.5000,15.5000,15.5000,0,100,0
HBD,20210709,13.6000,13.6000,13.6000,13.6000,1200,13.6000,13.6000,13.6000,13.6000,0,0,0
HBD,20210707,13.6000,13.6000,13.6000,13.6000,200,13.6000,13.6000,13.6000,13.6000,0,0,0
HBD,20210706,14.2000,14.8000,14.2000,14.8000,1400,14.2000,14.8000,14.2000,14.8000,0,0,0
HBD,20210702,14.1000,14.7000,14.1000,14.1000,1800,14.1000,14.7000,14.1000,14.1000,0,0,0
HBD,20210630,16.5000,16.5000,16.5000,16.5000,6,16.5000,16.5000,16.5000,16.5000,0,0,0
HBD,20210629,17.0000,17.0000,16.0000,16.0000,200,17.0000,17.0000,16.0000,16.0000,0,0,0
HBD,20210628,14.8000,14.9000,14.8000,14.8000,2500,14.8000,14.9000,14.8000,14.8000,0,0,0
HBD,20210625,17.3000,17.3000,17.3000,17.3000,6,17.3000,17.3000,17.3000,17.3000,0,0,0
HBD,20210624,17.3000,17.3000,17.3000,17.3000,100,17.3000,17.3000,17.3000,17.3000,0,0,0
HBD,20210623,15.2000,15.2000,15.0000,15.0000,400,15.2000,15.2000,15.0000,15.0000,0,0,0
HBD,20210622,15.0000,15.0000,15.0000,15.0000,100,15.0000,15.0000,15.0000,15.0000,0,0,100
HBD,20210621,15.2000,15.3000,15.2000,15.3000,431,15.2000,15.3000,15.2000,15.3000,0,0,0
HBD,20210617,17.9000,17.9000,17.8000,17.8000,1200,17.9000,17.9000,17.8000,17.8000,0,0,0
HBD,20210616,15.5000,15.6000,15.5000,15.6000,500,15.5000,15.6000,15.5000,15.6000,0,0,0
HBD,20210614,17.9000,17.9000,17.9000,17.9000,22,17.9000,17.9000,17.9000,17.9000,0,0,0
HBD,20210611,17.9000,17.9000,17.9000,17.9000,200,17.9000,17.9000,17.9000,17.9000,0,0,0
HBD,20210610,18.2000,18.2000,18.2000,18.2000,100,18.2000,18.2000,18.2000,18.2000,0,0,0
HBD,20210608,15.6000,16.0000,15.6000,16.0000,3600,15.6000,16.0000,15.6000,16.0000,0,0,0
HBD,20210607,16.0000,16.0000,16.0000,16.0000,200,16.0000,16.0000,16.0000,16.0000,0,0,0
HBD,20210604,14.5000,14.5000,14.5000,14.5000,100,14.5000,14.5000,14.5000,14.5000,0,0,0
HBD,20210601,14.5000,14.5000,14.0000,14.5000,3300,14.5000,14.5000,14.0000,14.5000,0,0,0
HBD,20210531,14.5000,14.5000,14.5000,14.5000,500,14.5000,14.5000,14.5000,14.5000,0,0,0
HBD,20210528,14.5000,14.7000,14.5000,14.7000,506,14.5000,14.7000,14.5000,14.7000,0,0,0
HBD,20210527,14.5000,14.5000,14.5000,14.5000,500,14.5000,14.5000,14.5000,14.5000,0,0,0
HBD,20210524,14.0000,14.0000,14.0000,14.0000,400,14.0000,14.0000,14.0000,14.0000,0,0,0
HBD,20210519,13.3000,13.3000,13.3000,13.3000,100,13.3000,13.3000,13.3000,13.3000,0,0,0
HBD,20210514,13.3000,13.6000,13.3000,13.6000,1100,13.3000,13.6000,13.3000,13.6000,0,0,0
HBD,20210512,13.4000,13.4000,13.4000,13.4000,100,13.4000,13.4000,13.4000,13.4000,0,0,0
HBD,20210510,12.8000,14.5000,12.8000,12.9000,2800,12.8000,14.5000,12.8000,12.9000,0,0,0
HBD,20210504,14.5000,14.5000,14.5000,14.5000,500,14.5000,14.5000,14.5000,14.5000,0,0,0
HBD,20210429,14.5000,14.5000,14.5000,14.5000,200,14.5000,14.5000,14.5000,14.5000,0,0,0
HBD,20210428,15.0000,15.0000,15.0000,15.0000,106,15.0000,15.0000,15.0000,15.0000,0,0,0
HBD,20210427,15.0000,15.0000,15.0000,15.0000,300,15.0000,15.0000,15.0000,15.0000,0,0,0
HBD,20210423,14.8000,15.0000,14.8000,15.0000,9300,14.8000,15.0000,14.8000,15.0000,0,0,0
HBD,20210420,0.0000,13.1000,13.1000,13.1000,100,0.0000,13.1000,13.1000,13.1000,0,0,0
HBD,20210414,14.0000,14.0000,14.0000,14.0000,300,14.0000,14.0000,14.0000,14.0000,0,0,0
HBD,20210412,14.5000,14.5000,14.5000,14.5000,500,14.5000,14.5000,14.5000,14.5000,0,0,0
HBD,20210408,14.3000,14.3000,14.2000,14.2000,606,14.3000,14.3000,14.2000,14.2000,0,500,0
HBD,20210406,14.2000,14.2000,14.2000,14.2000,1000,14.2000,14.2000,14.2000,14.2000,0,500,0
HBD,20210402,14.1000,14.3000,14.1000,14.3000,1607,14.1000,14.3000,14.1000,14.3000,0,0,0
HBD,20210401,14.2000,14.2000,14.2000,14.2000,33,14.2000,14.2000,14.2000,14.2000,0,0,0
HBD,20210330,14.2000,14.2000,14.2000,14.2000,220,14.2000,14.2000,14.2000,14.2000,0,0,0
HBD,20210329,14.2000,14.2000,14.2000,14.2000,1200,14.2000,14.2000,14.2000,14.2000,0,0,0
HBD,20210325,14.2000,14.2000,14.2000,14.2000,500,14.2000,14.2000,14.2000,14.2000,0,0,0
HBD,20210319,15.2000,15.2000,15.2000,15.2000,100,15.2000,15.2000,15.2000,15.2000,0,0,0
HBD,20210318,16.3000,16.3000,15.5000,15.5000,200,16.3000,16.3000,15.5000,15.5000,0,0,0
HBD,20210317,16.2000,16.2000,15.6000,15.6000,1200,16.2000,16.2000,15.6000,15.6000,0,0,0
HBD,20210316,14.0000,15.0000,14.0000,14.9000,1800,14.0000,15.0000,14.0000,14.9000,0,0,0
HBD,20210315,14.1000,14.1000,14.1000,14.1000,100,14.1000,14.1000,14.1000,14.1000,0,0,0
HBD,20210309,14.1000,14.1000,14.1000,14.1000,400,14.1000,14.1000,14.1000,14.1000,0,0,0
HBD,20210308,13.5000,13.5000,13.5000,13.5000,300,13.5000,13.5000,13.5000,13.5000,0,0,0
HBD,20210305,12.9000,13.6000,12.9000,13.5000,500,12.9000,13.6000,12.9000,13.5000,0,0,0
HBD,20210302,15.0437,15.4996,14.8614,15.4996,2900,16.5000,17.0000,16.3000,17.0000,0,0,0
HBD,20210301,13.6762,14.8614,13.6762,14.8614,2800,15.0000,16.3000,15.0000,16.3000,0,0,0
HBD,20210226,13.4938,13.5849,13.4938,13.5850,1300,14.8000,14.9000,14.8000,14.9000,0,0,0
HBD,20210225,13.6762,13.6762,13.4027,13.4026,1001,15.0000,15.0000,14.7000,14.7000,0,0,0
HBD,20210224,13.1291,15.4084,13.1291,15.4085,3610,14.4000,16.9000,14.4000,16.9000,0,1500,0
HBD,20210223,12.4909,15.4996,12.4909,13.0379,2530,13.7000,17.0000,13.7000,14.3000,0,0,100
HBD,20210222,12.7644,14.5879,12.7644,14.5879,2500,14.0000,16.0000,14.0000,16.0000,0,0,0
HBD,20210219,0.0000,12.7644,12.7644,12.7644,100,0.0000,14.0000,14.0000,14.0000,0,0,0
HBD,20210218,11.3968,11.3968,11.3968,11.3968,40,12.5000,12.5000,12.5000,12.5000,0,0,0
HBD,20210208,11.3968,11.3968,11.3968,11.3968,100,12.5000,12.5000,12.5000,12.5000,0,0,0
HBD,20210205,9.9380,9.9380,9.9380,9.9380,100,10.9000,10.9000,10.9000,10.9000,0,0,0
HBD,20210203,8.6616,8.6616,8.6616,8.6616,100,9.5000,9.5000,9.5000,9.5000,0,0,0
HBD,20210127,10.1204,10.1204,10.1204,10.1204,100,11.1000,11.1000,11.1000,11.1000,0,0,0
HBD,20210126,11.1233,11.1233,11.1233,11.1233,10,12.2000,12.2000,12.2000,12.2000,0,0,0
